variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
"r_Opponent[Fulham,Intercept]",0.04739371149675309,0.0481193845,0.0692051541588655,-0.09212979757499999,0.18104228999999997,1.0006426794834011,3718.3322325447284,4094.943710108473
"r_Opponent[Huddersfield,Intercept]",0.13335703051715336,0.13354399,0.08514763333952738,-0.0308753586,0.29913438799999986,1.0002219202284472,5991.989595429456,5875.5575613917945
"r_Opponent[Hull.City,Intercept]",0.14380407071279125,0.14492867,0.0875785017242693,-0.029172560649999995,0.31211756025,1.0007498419819616,5762.99220968985,5587.145351299411
"r_Opponent[Leeds.United,Intercept]",0.1881977352262425,0.18862384,0.07218633825652541,0.04895607012500001,0.32996066699999993,1.0014090711017838,4839.9884811415,5060.181541895826
"r_Opponent[Leicester.City,Intercept]",-0.023504584608668538,-0.0222823235,0.05441722587910674,-0.1326940585,0.08518547507499998,1.0012103395476706,2808.005258536215,4328.209433004108
"r_Opponent[Liverpool,Intercept]",-0.31315757340575,-0.312313085,0.05682718208045719,-0.426711898,-0.2038486675,1.000576769678113,3142.3605092132857,5220.773112744112
"r_Opponent[Luton.Town,Intercept]",0.19406567802391891,0.19356105,0.1013621255656906,-0.004190237182499999,0.393679684,1.0003049085060443,6700.06921357002,5143.003908389907
"r_Opponent[Manchester.City,Intercept]",-0.4523284108075,-0.45222816,0.06192401619268086,-0.57724016225,-0.33324280525,1.0003855845555887,3713.45109712402,5034.851491476054
"r_Opponent[Manchester.Utd,Intercept]",-0.25617963419775,-0.2556165,0.05670949659628353,-0.37018085649999993,-0.14594189125000004,1.0004764395345205,3191.2162514489737,4732.358131228098
"r_Opponent[Middlesbrough,Intercept]",-0.045055126806890035,-0.044051665499999997,0.1117562991135498,-0.26739745175,0.16985182424999978,1.0004491028424327,8297.742041817315,6077.691180350282
"r_Opponent[Newcastle.Utd,Intercept]",-0.009305636021746963,-0.008516282699999999,0.0532182272325264,-0.116618503,0.09210109559999995,1.0006024422862547,2733.5225051106067,5076.250584942744
"r_Opponent[Norwich.City,Intercept]",0.25733933157975,0.257380965,0.07027638129768263,0.12080305400000001,0.39471020999999995,1.0007299907809204,4743.585893999962,5766.987867961981
"r_Opponent[Nott'ham.Forest,Intercept]",0.07528745304480969,0.075054869,0.08447712676059346,-0.09057767874999999,0.23972562249999985,1.0001924698429905,5068.704333115386,6052.529362729299
"r_Opponent[QPR,Intercept]",0.2225341646936525,0.22253751500000002,0.10620917841738686,0.013793370550000008,0.43364939925,0.9999264682414498,6893.792218693755,5685.674000312458
"r_Opponent[Sheffield.Utd,Intercept]",0.13072309740551624,0.13013730499999998,0.07337652986602301,-0.015536013349999999,0.27189962474999996,1.0005124830496384,4582.384923850536,6227.478619862908
"r_Opponent[Southampton,Intercept]",0.025117392730409874,0.025374961,0.05248663634870988,-0.07704771619999999,0.12666728375,1.0008456367913183,2650.697409810063,4187.069921233225
"r_Opponent[Stoke.City,Intercept]",0.028286128726771914,0.029758653,0.06940016133469253,-0.10983115799999998,0.16136588349999997,1.0008120099693374,3884.4369065766055,5072.715394140548
"r_Opponent[Sunderland,Intercept]",0.10235166080968475,0.10351819000000001,0.0735513302680524,-0.044302880875,0.2426205419999999,1.0008352177862456,4652.628143171079,4827.753956098636
"r_Opponent[Swansea.City,Intercept]",0.03767799940249051,0.037756202,0.06997541609220718,-0.10426515199999999,0.17617027875,1.0009344420070996,4233.332718503941,4977.84386757484
"r_Opponent[Tottenham,Intercept]",-0.19851139369375,-0.19759424,0.055208262546890104,-0.30754547449999997,-0.09143423525,1.0008749776978636,2809.0015237733205,3948.2698595747756
"r_Opponent[Watford,Intercept]",0.1244519573095425,0.12306207499999999,0.056812781321907035,0.013226047775000003,0.23511223325,1.0009856850661796,2885.602274523924,4101.182104466069
"r_Opponent[West.Brom,Intercept]",0.026340762352557,0.026627296,0.06356899903604635,-0.10152899274999999,0.15003386875,1.0003571705524081,3764.193171824207,5074.304825979107
"r_Opponent[West.Ham,Intercept]",0.026480932601325176,0.026623958,0.051543844159210796,-0.07489137159999999,0.12774013349999996,1.001200838551487,2405.0391330118478,4110.08949173754
"r_Opponent[Wolves,Intercept]",-0.12123288953440176,-0.120695025,0.0626661318689453,-0.24589090175,-3.181762810000503e-4,1.000547128194047,3654.394191443474,4450.019242314117
"r_Season[2014/2015,Intercept]",-0.07365564467364312,-0.07207261649999999,0.03884532528685858,-0.15215125550000003,-0.0012918060650000131,1.0000964672884054,4726.222125659482,5934.715326642556
"r_Season[2015/2016,Intercept]",-0.037209372277075,-0.0370276405,0.03659645858177717,-0.11224446275,0.03311050597499997,1.0000973077868258,4542.409002199835,4885.392266863639
"r_Season[2016/2017,Intercept]",0.014580632576574624,0.0145731295,0.03630529237241228,-0.05633118122499999,0.08534022107499997,1.0002489311405565,4824.9210554476,5444.492116245666
"r_Season[2017/2018,Intercept]",-0.023849707153218824,-0.0228255175,0.03577071753840835,-0.09480416059999999,0.043708363424999994,1.0003362096374135,4618.487182897205,5755.465495948811
"r_Season[2018/2019,Intercept]",0.018523354403453426,0.0181928725,0.03588072933672397,-0.050735275899999994,0.08984627432499993,1.0006868705661938,4843.547526412858,5649.507012524504
"r_Season[2019/2020,Intercept]",-0.0192595800735573,-0.0191479015,0.03579102208521118,-0.0908927314,0.05090963384999999,1.0000401507328576,4859.15537928784,5942.556584879693
"r_Season[2020/2021,Intercept]",-0.02225060410152334,-0.021792673,0.03566909131672156,-0.09494653269999999,0.047297616625000004,1.000208557320915,4875.777968431524,5994.640790721575
"r_Season[2021/2022,Intercept]",-0.0022125516825170877,-0.0016030352000000001,0.03486628943930685,-0.074667641725,0.06560026887499998,1.0006109848278169,4580.715845764535,5480.308130237654
"r_Season[2022/2023,Intercept]",5.243358141879625e-4,6.0960734e-4,0.03537787289327964,-0.06853888450000001,0.07240708699999995,1.0004819434249417,4787.446330559997,5673.728764848822
"r_Season[2023/2024,Intercept]",0.1350493321513225,0.13373852,0.039130796380306705,0.061708024775,0.21405306999999996,1.0003651762338046,4528.308749693933,5455.72128035124
"r_Team[Arsenal,Intercept]",0.39940704303875,0.39814821,0.05954822957743286,0.2842944055,0.5175740757499999,1.001226401389837,1376.7913883897036,2766.6919933057407
"r_Team[Aston.Villa,Intercept]",0.024830132836637663,0.024613457499999998,0.07143481301002828,-0.11462941874999999,0.16798533499999999,1.001740741704631,1841.567794464627,3215.2900760343205
"r_Team[Bournemouth,Intercept]",0.00865081762674675,0.00819626,0.07041959760198836,-0.13282845375,0.14690831424999998,1.0017244632130975,1877.5376825553587,3774.375446161388
"r_Team[Brentford,Intercept]",0.09215672514868163,0.091660682,0.0868883915636504,-0.07721222812499999,0.26286943575,1.0006094561186705,2893.0273783823627,4868.363706374559
"r_Team[Brighton,Intercept]",-0.03897142681497837,-0.0379971805,0.0714752973605182,-0.18239827675,0.10217158999999994,1.0012210268233337,1944.0678808201972,3637.084418856632
"r_Team[Burnley,Intercept]",-0.217186517142775,-0.21647782,0.07189440842764017,-0.360110162,-0.07713819757500003,1.0019927664577712,1823.9492220224859,3858.5205782076796
"r_Team[Cardiff.City,Intercept]",-0.23591780690798875,-0.234436165,0.14530873835030805,-0.5343820579999999,0.03785441444999999,1.0004085160079188,5922.004606104652,5881.437226337932
"r_Team[Chelsea,Intercept]",0.33174366957,0.332141175,0.05983550129555094,0.21502708125,0.45110177874999996,1.0018087028047236,1381.5270957801827,2951.9540509215853
"r_Team[Crystal.Palace,Intercept]",-0.029898787769757375,-0.030331092,0.06463594342073212,-0.15806717199999998,0.09496581322499993,1.0017122458950487,1598.6962327504666,3329.7513031498315
"r_Team[Everton,Intercept]",0.01991944557804075,0.0189615,0.06404385968925293,-0.10423608275,0.15080886049999997,1.0016463092190062,1515.207607947564,3056.8934881758664
"r_Team[Fulham,Intercept]",-0.09782104366043237,-0.0971451045,0.08474757534572268,-0.26683376375,0.06834100582499988,1.0012541144640001,2446.3833110306186,4275.289080911932
"r_Team[Huddersfield,Intercept]",-0.481352255266,-0.47913124,0.12877127723042484,-0.7461194165,-0.2403297777500002,1.0016105603094423,5512.365726168682,5234.62474623905
"r_Team[Hull.City,Intercept]",-0.212207123519095,-0.209828075,0.11618902237052674,-0.44744785025000006,0.009581277557499879,1.0004256828065956,3801.4028560427555,5027.277281932635
"r_Team[Leeds.United,Intercept]",0.10781152395525187,0.107960515,0.08871299437537489,-0.071283225325,0.28364224549999995,1.0005430290876094,2891.7903013239484,4591.585569929006
"r_Team[Leicester.City,Intercept]",0.2190406946932875,0.21994616,0.06303246434946769,0.094622082325,0.343419971,1.0011872152897854,1511.770548511555,2827.08459063266
"r_Team[Liverpool,Intercept]",0.478904936435,0.47861516,0.058589338721584616,0.365523037,0.5957963522499999,1.00170650292184,1327.0326928080606,3144.3083873045325
"r_Team[Luton.Town,Intercept]",-0.00771589488532625,-0.0069218648,0.13087069259452797,-0.26728996475000005,0.24269187974999995,1.000137297558284,5562.511925803182,5755.986682398954
"r_Team[Manchester.City,Intercept]",0.63359699200625,0.633546435,0.05722726728014,0.52068206475,0.7475725484999999,1.0020820241452202,1269.051225167969,2871.278983060206
"r_Team[Manchester.Utd,Intercept]",0.24806864784075,0.24764296,0.061308181165879314,0.13098481725,0.3692646284999999,1.0017187741528246,1439.9573756054458,3254.260833196698
"r_Team[Middlesbrough,Intercept]",-0.3848080890562925,-0.384184485,0.15063770217381786,-0.68841547575,-0.09288913752500005,0.9999780304052301,5644.5050254357775,4604.391261102123
